Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
400193;Aarhus United AS;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;11-11-2005;;DKK;;Food and Tobacco Production;DK0010013960;;;;FJERN
400288;Asg B;OMX NORDIC STOCKHOLM;SHARE;25-07-1991;21-12-1999;;SEK;;Industrial Services;SE0000141160;;;;FJERN
400300;Aars Bank Dkk5;OMX NORDIC COPENHAGEN;SHARE;22-01-1990;21-05-2001;;DKK;;Banking;DK0010134162;;;;FJERN
401191;Klippan Ab Sek5;OMX NORDIC STOCKHOLM;SHARE;04-11-1994;05-05-2006;;SEK;;Manufactured Products;SE0000254567;;;;FJERN
401458;Alfa-Laval Cl A AB;OMX NORDIC STOCKHOLM;SHARE;13-09-1989;13-06-1991;;SEK;;Industrial Manufacturing;SE0000100307;;;;FJERN
401461;Alfa-Laval Cl B AB;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;06-08-1991;;SEK;;Industrial Manufacturing;CH0006132168;;;;FJERN
401853;Green Wind Energy AS;OMX NORDIC COPENHAGEN;SHARE;25-08-1992;31-05-2011;6,2;DKK;;Utilities;DK0060159994;22.376,9;137786,7574;18494,86677;FJERN
401878;CellaVision AB;OMX NORDIC STOCKHOLM;SHARE;28-05-2007;13-05-2026;143,5;SEK;3.749,5;Healthcare Equipment;SE0000683484;45.267,0;6497299,037;574982,2157;BEHOLD
402033;Allgon B;OMX NORDIC STOCKHOLM;SHARE;01-03-1990;17-04-2003;;SEK;;Hardware;SE0000100364;;;;FJERN
402231;Albani Bryggeriern Ser'A'Dkk100;OMX NORDIC COPENHAGEN;SHARE;02-09-1991;10-10-2001;;DKK;;Food and Tobacco Production;DK0010174119;;;;FJERN
402232;Albani Bryggeriern Ser'B'Dkk100;OMX NORDIC COPENHAGEN;SHARE;26-08-1991;24-05-2002;;DKK;;Food and Tobacco Production;DK0010174382;;;;FJERN
403362;Fionia Bank;OMX NORDIC COPENHAGEN;SHARE;18-11-1987;23-10-2009;22,9;DKK;;Banking;DK0060129658;1.589,4;36359,13489;4880,420791;FJERN
403462;AGA AB Cl B;OMX NORDIC STOCKHOLM;SHARE;20-06-1985;20-04-2000;;SEK;;Chemical, Plastic and Rubber Materials;SE0000100208;;;;FJERN
403548;Aritmos AB;OMX NORDIC STOCKHOLM;SHARE;07-12-1988;28-03-1995;;SEK;;Financially Operative Institutions;SE0000100869;;;;FJERN
403625;Althin Medical Ab Sek4 Ser'B';OMX NORDIC STOCKHOLM;SHARE;05-05-1995;21-03-2000;;SEK;;Industrial Manufacturing;;;;;FJERN
403938;Britannia Invest Dkk100;OMX NORDIC COPENHAGEN;SHARE;21-11-1994;12-07-2002;;DKK;;Real Estate;;;;;FJERN
404853;Feelgood Svenska AB;OMX NORDIC STOCKHOLM;SHARE;12-03-1998;06-08-2021;2,1;SEK;;Healthcare Services;SE0000381840;91.331,5;194876,0249;17245,66592;FJERN
404860;N & T Argonaut B;OMX NORDIC STOCKHOLM;SHARE;03-03-1989;14-02-2000;;SEK;;Industrial Services;;;;;FJERN
405157;AssiDoman AB;OMX NORDIC STOCKHOLM;SHARE;08-04-1994;25-01-2002;;SEK;;Manufactured Products;SE0000230963;;;;FJERN
405298;Asea A;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;19-05-1992;;SEK;;Real Estate;SE0000100901;;;;FJERN
405549;Atle Ab Sek10 Ser'A';OMX NORDIC STOCKHOLM;SHARE;23-06-1993;10-05-2001;;SEK;;Investment Services;SE0000195802;;;;FJERN
406045;Astra AB A;OMX NORDIC STOCKHOLM;SHARE;05-06-1987;18-06-1992;;SEK;;Industrial Manufacturing;SE0001009929;;;;FJERN
406175;Atlantica Forsakri Sek10;OMX NORDIC STOCKHOLM;SHARE;25-09-1989;21-03-1997;;SEK;;Insurance;;;;;FJERN
406728;Avesta Sheffield AB;OMX NORDIC STOCKHOLM;SHARE;23-02-1989;22-02-2001;;SEK;;Mining and Mineral Products;SE0000101057;;;;FJERN
407042;Bahco Investment AB;OMX NORDIC STOCKHOLM;SHARE;24-11-1988;14-04-1992;;SEK;;Industrial Manufacturing;;;;;FJERN
408353;Vordingborg Bank A/S;OMX NORDIC COPENHAGEN;SHARE;04-01-1990;30-12-2013;415,7;DKK;;Banking;DK0010019652;41,6;17275,31896;2318,83476;FJERN
408635;Empire Ab Sek0.30 Ser'B';OMX NORDIC STOCKHOLM;SHARE;10-07-2000;24-10-2003;;SEK;;;;;;;FJERN
409343;Bergman & Beving AB Class B;OMX NORDIC STOCKHOLM;SHARE;17-08-1987;13-05-2026;115,6;SEK;7.756,6;Industrial Services;SE0000101362;32.724,4;3784050,194;334871,6986;BEHOLD
409853;Bilspedition Ab Ser'A'Swkr25;OMX NORDIC STOCKHOLM;SHARE;20-10-1987;25-06-1992;;SEK;;Industrial Services;;;;;FJERN
409854;Bilspedition B;OMX NORDIC STOCKHOLM;SHARE;17-08-1987;24-06-1992;;SEK;;Industrial Services;;;;;FJERN
409857;Btl Ab Ser'A'Sek12.50;OMX NORDIC STOCKHOLM;SHARE;01-12-1988;30-04-1999;;SEK;;Industrial Services;;;;;FJERN
409859;Btl B;OMX NORDIC STOCKHOLM;SHARE;10-05-1989;30-04-1999;;SEK;;Industrial Services;SE0000101578;;;;FJERN
409907;BPA AB Class B;OMX NORDIC STOCKHOLM;SHARE;06-04-1990;09-07-1999;;SEK;;Industrial Services;SE0000101941;;;;FJERN
410407;Brd. Klee A/S Class B;OMX NORDIC COPENHAGEN;SHARE;22-11-1990;08-05-2026;2.666,8;DKK;202,2;Industrial Services;DK0010129089;3,3;8821,154112;1184,047532;FJERN
410453;Elektronikgruppen Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;27-11-1991;27-09-2011;23,4;SEK;;Electronic Components and Manufacturing;SE0000101669;6.783,5;158595,0605;14034,96111;FJERN
411202;Boras Wafveri Ab Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;15-03-1988;02-11-2010;3,2;SEK;;Manufactured Products;SE0000101891;14.465,5;46894,0838;4149,91892;FJERN
412058;Bong AB;OMX NORDIC STOCKHOLM;SHARE;19-12-1991;13-05-2026;3,8;SEK;140,7;Consumer Goods;SE0000396061;128.915,8;491162,2365;43465,68465;FJERN
412061;Brio Ab Swkr10 Ser'B';OMX NORDIC STOCKHOLM;SHARE;19-12-1991;30-12-1992;;SEK;;Consumer Goods;SE0000101990;;;;FJERN
413901;Bcp(Branded Consum Ser'B'Swkr1;OMX NORDIC STOCKHOLM;SHARE;23-11-1993;23-12-1994;;SEK;;Food and Tobacco Production;;;;;FJERN
413906;Bcp(Branded Consum Ser'A'Swkr1;OMX NORDIC STOCKHOLM;SHARE;23-11-1993;23-12-1994;;SEK;;Food and Tobacco Production;;;;;FJERN
414249;Concejo AB Class B;OMX NORDIC STOCKHOLM;SHARE;13-05-1994;13-05-2026;40,2;SEK;559,4;Hardware;SE0000236382;9.431,7;379161,27;33554,09469;FJERN
415265;Bure Equity AB;OMX NORDIC STOCKHOLM;SHARE;01-10-1993;13-05-2026;142,8;SEK;18.311,4;Investment Services;SE0000195810;109.728,4;15671991,65;1386901,916;BEHOLD
415528;Kobenhavns Lufthavne A/S;OMX NORDIC COPENHAGEN;SHARE;11-04-1994;13-05-2026;4.236,3;DKK;53.837,8;Industrial Services;DK0010201102;234,3;992386,7024;133206,2688;BEHOLD
415544;Burmeister & Wain Ser'B'Dkk100;OMX NORDIC COPENHAGEN;SHARE;11-07-1990;26-06-1995;;DKK;;Industrial Services;DK0010156991;;;;FJERN
415548;Burmeister & Wain Ser'A'Dkk100;OMX NORDIC COPENHAGEN;SHARE;10-09-1993;27-06-1995;;DKK;;Industrial Services;;;;;FJERN
415558;Danisco A/S;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;16-06-2011;407,7;DKK;;Food and Tobacco Production;DK0010207497;269.636,1;109924867,8;14755015,81;BEHOLD
416129;Bang & Olufsen A/S;OMX NORDIC COPENHAGEN;SHARE;16-01-1985;13-05-2026;26,3;DKK;1.891,2;Hardware;DK0010218429;248.411,0;6542015,47;878122,8819;BEHOLD
416686;Persea AB Class B;OMX NORDIC STOCKHOLM;SHARE;30-05-2000;20-11-2003;;SEK;;Financially Operative Institutions;SE0000544678;;;;FJERN
416701;Calkas A S Dkk100'B';OMX NORDIC COPENHAGEN;SHARE;18-05-1989;27-11-1998;;DKK;;Mining and Mineral Products;;;;;FJERN
416921;Carlsberg AS Class B;OMX NORDIC COPENHAGEN;SHARE;02-01-1990;13-05-2026;705,6;DKK;110.390,1;Food and Tobacco Production;DK0010181759;335.478,8;236698241,5;31771576,04;BEHOLD
417462;Cardo Invstmnt Ab Swkr50;OMX NORDIC STOCKHOLM;SHARE;11-03-1987;30-12-1992;;SEK;;Investment Services;SE0000102238;;;;FJERN
417463;Investment AB Cardo;OMX NORDIC STOCKHOLM;SHARE;11-03-1987;23-06-1994;;SEK;;Investment Services;SE0000102246;;;;FJERN
417569;Provobis Hotel&Res Sek1 Ser'B';OMX NORDIC STOCKHOLM;SHARE;08-07-1994;26-06-2000;;SEK;;Hospitality Services;;;;;FJERN
418105;Celsius B;OMX NORDIC STOCKHOLM;SHARE;24-06-1993;17-03-2000;;SEK;;Industrial Manufacturing;SE0000204794;;;;FJERN
418146;Celtica Sek50;OMX NORDIC STOCKHOLM;SHARE;04-11-1991;25-07-2003;;SEK;;Real Estate;SE0000135303;;;;FJERN
418176;Cederroth Nordic Ser'B'Swkr10;OMX NORDIC STOCKHOLM;SHARE;13-11-1990;28-02-1994;;SEK;;Household Products;;;;;FJERN
418238;Skanska B;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;30-12-1992;;SEK;;Industrial Services;;;;;FJERN
418432;Park Street A/S Class A;OMX NORDIC COPENHAGEN;SHARE;23-04-1991;11-05-2026;9,7;DKK;724,5;Real Estate;DK0010158500;10.979,9;106270,9007;14264,55043;FJERN
419455;Christensen & Niel Dkk1000;OMX NORDIC COPENHAGEN;SHARE;04-12-1995;22-09-1999;;DKK;;Consumer Retail;;;;;FJERN
419490;Christiani&Nielsen Dkk50;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;16-06-2000;;DKK;;Industrial Services;;;;;FJERN
419729;Cardo Ab Shs;OMX NORDIC STOCKHOLM;SHARE;27-02-1995;21-04-2011;243,5;SEK;;Industrial Services;SE0000262982;30.689,0;7471634,841;661206,6231;BEHOLD
420679;Codan Gummi Ser'B'Dkk100(Regd);OMX NORDIC COPENHAGEN;SHARE;29-03-1988;26-06-1998;;DKK;;Chemical, Plastic and Rubber Materials;;;;;FJERN
420747;Bt Industries Ab Sek20;OMX NORDIC STOCKHOLM;SHARE;29-11-1995;13-07-2000;;SEK;;Industrial Manufacturing;SE0000291171;;;;FJERN
421253;Commercial Leasing A/S Class B;OMX NORDIC COPENHAGEN;SHARE;21-07-1995;20-06-1996;;DKK;;Miscellaneous Retail;DK0010115450;;;;FJERN
421829;Concordia Maritime AB Class B;OMX NORDIC STOCKHOLM;SHARE;03-10-1990;06-02-2024;12,6;SEK;;Upstream Energy;SE0000102824;45.823,1;575782,58;50954,21062;FJERN
422032;Concordia Maritime Swkr8 Ser'B';OMX NORDIC STOCKHOLM;SHARE;19-12-1991;20-01-1992;;SEK;;Industrial Services;;;;;FJERN
422467;Alm Brand Ser'B'Dkk100(Regd);OMX NORDIC COPENHAGEN;SHARE;24-11-1987;27-06-2001;;DKK;;Insurance;DK0010004035;;;;FJERN
424017;Cubic Dkk100'B';OMX NORDIC COPENHAGEN;SHARE;16-07-1992;13-10-2000;;DKK;;Industrial Manufacturing;DK0010166958;;;;FJERN
424773;DLF Seeds A/S Class A;OMX NORDIC COPENHAGEN;SHARE;08-07-1992;20-08-1996;;DKK;;Food and Tobacco Production;DK0010004704;;;;FJERN
424774;DLF Seeds A/S Class B;OMX NORDIC COPENHAGEN;SHARE;24-01-1991;11-11-1996;;DKK;;Food and Tobacco Production;DK0010045228;;;;FJERN
424875;Dampskibsselskabet af 1912 AS;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;13-06-2003;;DKK;;Industrial Services;DK0010244342;;;;FJERN
424972;Dadeko A/S Class A;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;20-11-1992;;DKK;;Food and Staples Retail;DK0010008457;;;;FJERN
425304;A.P. Moller - Maersk A/S Class B;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;13-05-2026;8.610,9;DKK;214.730,2;Industrial Services;DK0010244508;30.036,4;258639525,6;34716714,85;BEHOLD
425325;Dancall Radio 'A'Dnkr100;OMX NORDIC COPENHAGEN;SHARE;21-10-1993;21-10-1993;;DKK;;Electronic Components and Manufacturing;;;;;FJERN
425353;Danisco Beretring Dkr 500;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;20-06-1989;;DKK;;Food and Tobacco Production;;;;;FJERN
425364;Dansk Kapitalanlae Dkk100;OMX NORDIC COPENHAGEN;SHARE;22-12-1987;14-01-2005;;DKK;;Investment Services;DK0010002682;;;;FJERN
425365;Ehuset A/S 'B'Dkk100;OMX NORDIC COPENHAGEN;SHARE;26-11-1987;29-06-2001;;DKK;;Software and Consulting;;;;;FJERN
425370;Dansk Kautionsfors Dkk100(Regd);OMX NORDIC COPENHAGEN;SHARE;29-03-1988;11-08-1998;;DKK;;Insurance;;;;;FJERN
425384;Danske Sukkerfabrikker Dkr100;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;20-06-1989;;DKK;;Food and Tobacco Production;;;;;FJERN
425693;Datalog Class'B'Dnkr100;OMX NORDIC COPENHAGEN;SHARE;24-02-1988;17-03-1995;;DKK;;Software and Consulting;DK0015333553;;;;FJERN
427029;D.G.Holding A/S Class B;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;03-10-1996;;DKK;;Industrial Manufacturing;DK0015190508;;;;FJERN
427032;Dantax A/S;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;13-05-2026;223,9;DKK;;Hardware;DK0015205637;140,0;31353,48576;4208,521579;FJERN
427680;Cybercom Group AB;OMX NORDIC STOCKHOLM;SHARE;17-08-2000;30-12-2015;4,6;SEK;;Software and Consulting;SE0000702169;298.806,3;1376959,789;121854,8486;BEHOLD
428024;Metro International SA ShsB Swedish Depositary Receipts;OMX NORDIC STOCKHOLM;DR;06-09-2000;31-05-2012;1,0;SEK;;Media and Publishing Services;SE0000696858;978.437,2;938859,3174;83084,89535;FJERN
428178;Custos;OMX NORDIC STOCKHOLM;SHARE;18-08-2000;03-09-2004;;SEK;;Investment Services;SE0000702177;;;;FJERN
428816;Chemitalic Dkk10 Ser'B';OMX NORDIC COPENHAGEN;SHARE;29-03-1988;07-05-2003;;DKK;;Electronic Components and Manufacturing;DK0010218858;;;;FJERN
429473;Elanders AB Class B;OMX NORDIC STOCKHOLM;SHARE;15-01-1990;13-05-2026;70,6;SEK;2.404,3;Industrial Services;SE0000119299;21.367,4;1509074,744;133546,4375;BEHOLD
429650;Elektriska Svetsnings AB ESAB;OMX NORDIC STOCKHOLM;SHARE;07-12-1988;08-11-1994;;SEK;;Industrial Manufacturing;SE0000104010;;;;FJERN
429652;Elektriska Svetsnings AB ESAB;OMX NORDIC STOCKHOLM;SHARE;02-09-1986;08-11-1994;;SEK;;Industrial Manufacturing;SE0000104028;;;;FJERN
429653;Esab(Elek Svetsn) Ser'A'Swkr50;OMX NORDIC STOCKHOLM;SHARE;02-09-1986;04-01-1991;;SEK;;Industrial Manufacturing;;;;;FJERN
429685;Esab(Elektriska) Ser'B'Swkr50;OMX NORDIC STOCKHOLM;SHARE;05-04-1990;02-07-1992;;SEK;;Industrial Manufacturing;SE0000123176;;;;FJERN
429697;Ejendomsel Norden Dkk100;OMX NORDIC COPENHAGEN;SHARE;18-12-1989;05-04-2001;;DKK;;Real Estate;DK0010186477;;;;FJERN
429764;Ok Holding Co Dkk100;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;04-10-1996;;DKK;;Real Estate;;;;;FJERN
430350;NewCap Holding A/S;OMX NORDIC COPENHAGEN;SHARE;28-01-1991;13-05-2026;0,1;DKK;59,2;Investment Services;DK0010212570;107.692,5;6892,97154;925,2310791;FJERN
430526;Scancem Ab Ser'B'Sek25;OMX NORDIC STOCKHOLM;SHARE;25-05-1989;20-12-1999;;SEK;;Mining and Mineral Products;;;;;FJERN
430548;Dios (Anders) Ab Sek10;OMX NORDIC STOCKHOLM;SHARE;19-12-1991;16-11-2001;;SEK;;Business Services;;;;;FJERN
430971;Caran Ab Sek1 Ser'B';OMX NORDIC STOCKHOLM;SHARE;17-05-1995;18-02-1999;;SEK;;Business Services;;;;;FJERN
430998;Ejendmsaktsel Nord Dnkr100;OMX NORDIC COPENHAGEN;SHARE;17-10-1988;07-07-1992;;DKK;;Real Estate;DK0010113752;;;;FJERN
431019;Egnsbank Fyn Dkk100;OMX NORDIC COPENHAGEN;SHARE;26-11-1987;21-05-2002;;DKK;;Banking;DK0010015668;;;;FJERN
431194;Export-Invest AB A;OMX NORDIC STOCKHOLM;SHARE;28-08-1985;04-08-1994;;SEK;;Investment Services;SE0000104218;;;;FJERN
431195;Export-Invest AB B Fria;OMX NORDIC STOCKHOLM;SHARE;17-08-1987;04-08-1994;;SEK;;Investment Services;SE0000104234;;;;FJERN
431418;Crisplant Industri Dkk20;OMX NORDIC COPENHAGEN;SHARE;27-12-1995;12-07-1999;;DKK;;Industrial Manufacturing;DK0010219666;;;;FJERN
431419;Expedit a/s Class B;OMX NORDIC COPENHAGEN;SHARE;24-11-1987;18-04-2017;419,0;DKK;;Food and Staples Retail;DK0015312474;105,8;44312,48724;5947,984865;FJERN
431420;Hometown A/S;OMX NORDIC COPENHAGEN;SHARE;23-11-1987;31-01-2022;14,5;DKK;;Real Estate;DK0015216675;15.684,7;227806,6798;30578,07783;FJERN
431728;Esselte A;OMX NORDIC STOCKHOLM;SHARE;09-09-1986;29-06-1992;;SEK;;Consumer Goods;;;;;FJERN
431729;Esselte B;OMX NORDIC STOCKHOLM;SHARE;09-09-1986;01-07-1992;;SEK;;Consumer Goods;;;;;FJERN
431730;Esselte Cl B AB;OMX NORDIC STOCKHOLM;SHARE;09-09-1986;31-07-2002;;SEK;;Consumer Goods;SE0000104077;;;;FJERN
431968;Bulten Ab Sek2.5 Ser 'B';OMX NORDIC STOCKHOLM;SHARE;06-03-1992;16-02-2001;;SEK;;Mining and Mineral Products;SE0000123267;;;;FJERN
432271;Edb Gruppen 'B'Dkk20;OMX NORDIC COPENHAGEN;SHARE;27-11-1991;31-10-2008;;DKK;;Software and Consulting;DK0010211093;;;;FJERN
432365;Epa Invest Ser'A'Dkk100;OMX NORDIC COPENHAGEN;SHARE;15-12-1997;23-12-1998;;DKK;;Specialty Finance and Services;DK0011108298;;;;FJERN
432573;Cyncrona Ab Sek5 Ser'B';OMX NORDIC STOCKHOLM;SHARE;17-10-1991;30-04-1997;;SEK;;Electronic Components and Manufacturing;;;;;FJERN
432959;F.E. Bording A/S Class B;OMX NORDIC COPENHAGEN;SHARE;26-11-1987;22-01-2021;639,2;DKK;;Business Services;DK0010008028;72,9;46590,71478;6253,787219;FJERN
432961;Humlegarden Fastigheter AB Class B;OMX NORDIC STOCKHOLM;SHARE;21-11-1988;23-12-1999;;SEK;;Real Estate;SE0000104606;;;;FJERN
432985;Fabege Ser'B'Swkr1;OMX NORDIC STOCKHOLM;SHARE;27-10-1992;30-12-1992;;SEK;;Real Estate;SE0000104242;;;;FJERN
433230;Faxe Bryg Holding 'B'Dkk500;OMX NORDIC COPENHAGEN;SHARE;30-03-1988;24-04-1998;;DKK;;;DK0010009265;;;;FJERN
433232;Faxe Kalk A/S;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;16-10-1996;;DKK;;Mining and Mineral Products;DK0010009349;;;;FJERN
433233;Faxe Kalk A/S Class B;OMX NORDIC COPENHAGEN;SHARE;24-11-1987;16-10-1996;;DKK;;Mining and Mineral Products;DK0010009422;;;;FJERN
433421;Folkebolagen Ab Sek10 Ser'B';OMX NORDIC STOCKHOLM;SHARE;17-12-1991;07-06-2000;;SEK;;Consumer Retail;;;;;FJERN
434202;Fisker & Neilson Ser'B'Dnkr100;OMX NORDIC COPENHAGEN;SHARE;30-01-1991;30-01-1991;;DKK;;;DK0000026006;;;;FJERN
434235;Flakt Ab Skr50;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;19-04-1988;;SEK;;Industrial Manufacturing;;;;;FJERN
434368;Fagerlid Industri Sek2.5;OMX NORDIC STOCKHOLM;SHARE;20-03-1995;03-12-1999;;SEK;;Manufactured Products;;;;;FJERN
434606;Ford Motor Co Denm Dkk120;OMX NORDIC COPENHAGEN;SHARE;30-03-1988;21-06-2000;;DKK;;Miscellaneous Retail;;;;;FJERN
434637;Carlsberg AS;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;04-02-1992;;DKK;;Food and Tobacco Production;DK0010009851;;;;FJERN
434715;Pharmacia Ab Ser'B'Swkr10;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;14-09-1990;;SEK;;Biopharmaceuticals;;;;;FJERN
434854;Cic A/S Dkk5;OMX NORDIC COPENHAGEN;SHARE;19-11-1993;06-12-2001;;DKK;;Healthcare Services;;;;;FJERN
434861;Forcenergy Sek10 Ser'B';OMX NORDIC STOCKHOLM;SHARE;05-12-1991;30-03-1998;;SEK;;Upstream Energy;SE0000143430;;;;FJERN
435002;Alm. Brand A/S;OMX NORDIC COPENHAGEN;SHARE;14-09-1987;13-05-2026;9,9;DKK;26.690,0;Insurance;DK0015250344;979.011,4;9685308,872;1300041,459;BEHOLD
435205;Finnveden Ab Ser'B'Sek10.00;OMX NORDIC STOCKHOLM;SHARE;06-04-1994;18-02-2005;;SEK;;Industrial Services;SE0000121816;;;;FJERN
435234;Lastas A/S Shs -B-;OMX NORDIC COPENHAGEN;SHARE;14-03-1990;08-05-2013;30,5;DKK;;Miscellaneous Retail;DK0010146927;791,2;24160,24922;3242,986473;FJERN
435347;Wewers A/S;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;29-11-2005;;DKK;;Consumer Retail;DK0010026194;;;;FJERN
435467;Fr Invest Dkk100;OMX NORDIC COPENHAGEN;SHARE;31-01-1996;17-01-2002;;DKK;;Consumer Retail;DK0010212307;;;;FJERN
435615;Frontline Ab Sek20;OMX NORDIC STOCKHOLM;SHARE;29-01-2001;29-01-2001;;SEK;;Industrial Services;;;;;FJERN
435784;GN Store Nord Holding AS;OMX NORDIC COPENHAGEN;SHARE;04-02-1985;22-12-1997;;DKK;;Telecommunications;;;;;FJERN
435882;Gabriel Holding A/S;OMX NORDIC COPENHAGEN;SHARE;24-11-1987;13-05-2026;341,0;DKK;453,6;Manufactured Products;DK0060124691;516,7;176176,9212;23647,90888;FJERN
436090;Gambro B;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;27-11-1992;;SEK;;Business Services;;;;;FJERN
436564;GPV Industri A/S Class B;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;03-04-2009;29,7;DKK;;Mining and Mineral Products;DK0010210285;162,8;4834,666368;648,9485057;FJERN
437863;Gorthon Investment Swkr50;OMX NORDIC STOCKHOLM;SHARE;30-12-1987;12-07-1993;;SEK;;Specialty Finance and Services;;;;;FJERN
437970;Rederiaktiebolaget Gotland Class B;OMX NORDIC STOCKHOLM;SHARE;16-08-1990;13-05-2026;686,1;SEK;6.550,0;Industrial Services;SE0000105397;10,3;7057,270283;624,5371932;FJERN
437985;Jobline Internatio Ord Sek0.10;OMX NORDIC STOCKHOLM;SHARE;15-09-2000;10-08-2001;;SEK;;Business Services;SE0000695645;;;;FJERN
438047;Gotagruppen;OMX NORDIC STOCKHOLM;SHARE;26-07-1988;07-11-1994;;SEK;;Banking;;;;;FJERN
438769;Foreningsbk Kredit Ser'A'Sek5;OMX NORDIC STOCKHOLM;SHARE;06-01-1994;11-06-1997;;SEK;;Banking;SE0000224768;;;;FJERN
438851;Girobank A/S;OMX NORDIC COPENHAGEN;SHARE;03-12-1993;19-03-1996;;DKK;;Banking;DK0015631659;;;;FJERN
439109;GronlandsBANKEN A/S;OMX NORDIC COPENHAGEN;SHARE;11-07-1990;13-05-2026;582,6;DKK;1.584,0;Banking;DK0010230630;595,5;346938,7692;46568,96231;FJERN
439249;FIH Erhvervsbank;OMX NORDIC COPENHAGEN;SHARE;30-09-1991;12-01-2000;;DKK;;Specialty Finance and Services;DK0010202183;;;;FJERN
439365;Xponcard Group Ab Npv;OMX NORDIC STOCKHOLM;SHARE;20-12-1993;09-06-2008;;SEK;;Software and Consulting;SE0002866475;;;;FJERN
439579;Audiodev Ab Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;25-09-2000;12-06-2009;3,2;SEK;;Hardware;SE0000708620;7.241,4;23218,37113;2054,723109;FJERN
439634;Gullspang Kraft Ser'B'Sek5;OMX NORDIC STOCKHOLM;SHARE;19-09-1989;27-07-1999;;SEK;;Industrial Manufacturing;SE0000105710;;;;FJERN
439930;Forsheda AB Class B;OMX NORDIC STOCKHOLM;SHARE;23-02-1989;19-12-1996;;SEK;;Chemical, Plastic and Rubber Materials;SE0000104887;;;;FJERN
439960;H+H International A/S;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;13-05-2026;84,2;DKK;1.521,1;Mining and Mineral Products;DK0015202451;27.656,2;2327391,218;312401,5057;BEHOLD
440162;Hafnia Holding Ltd.;OMX NORDIC COPENHAGEN;SHARE;09-06-1987;17-08-1992;;DKK;;Insurance;DK0015203269;;;;FJERN
440163;Hafnia Holding Ltd.;OMX NORDIC COPENHAGEN;SHARE;08-06-1987;14-08-1992;;DKK;;Insurance;;;;;FJERN
440370;Elite Shipping Dkk100;OMX NORDIC COPENHAGEN;SHARE;26-06-1995;26-04-1999;;DKK;;Industrial Services;;;;;FJERN
440389;First Inv Partner Dkk100;OMX NORDIC COPENHAGEN;SHARE;30-06-1994;22-06-2004;;DKK;;Investment Services;DK0015786859;;;;FJERN
440573;Frigoscandia Ab Sek5 Ser'A';OMX NORDIC STOCKHOLM;SHARE;20-06-1994;17-11-1995;;SEK;;Industrial Services;SE0000241796;;;;FJERN
440574;Frigoscandia Ab Sek5 Ser'B';OMX NORDIC STOCKHOLM;SHARE;21-06-1994;17-11-1995;;SEK;;Industrial Services;SE0000241804;;;;FJERN
440759;Haldex AB;OMX NORDIC STOCKHOLM;SHARE;30-08-1988;19-09-2022;58,3;SEK;;Industrial Manufacturing;SE0000105199;187.443,7;10931099,89;967353,9729;BEHOLD
440776;Peab AB Class B;OMX NORDIC STOCKHOLM;SHARE;07-05-1993;13-05-2026;61,6;SEK;24.075,3;Industrial Services;SE0000106205;460.491,6;28358790,36;2509627,466;BEHOLD
440804;Copenhagen Handelsbank AS;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;24-04-1990;;DKK;;Banking;;;;;FJERN
440848;Dai Holding Dkk100;OMX NORDIC COPENHAGEN;SHARE;03-07-1995;28-01-2002;;DKK;;Investment Services;;;;;FJERN
441079;Hl Display Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;21-12-1993;17-09-2010;35,8;SEK;;Business Services;SE0000214058;35.623,1;1276054,347;112925,1634;BEHOLD
441519;Hatting Bageri Class B;OMX NORDIC COPENHAGEN;SHARE;25-11-1987;09-08-1995;;DKK;;Food and Tobacco Production;DK0010176833;;;;FJERN
441886;Iro Sek5;OMX NORDIC STOCKHOLM;SHARE;22-06-1995;26-10-2000;;SEK;;Industrial Manufacturing;;;;;FJERN
