Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
B1VYHS;Technology Nexus Npv;OMX NORDIC STOCKHOLM;SHARE;24-09-1998;25-09-2009;10,4;SEK;;Software and Consulting;SE0000433914;4.752,9;49597,01223;4389,116126;FJERN
B1VYK3;Meda AB Class A;OMX NORDIC STOCKHOLM;SHARE;27-06-1995;23-08-2016;82,7;SEK;;Biopharmaceuticals;SE0000221723;1.129.436,0;93399782,98;8265467,521;BEHOLD
B1W3ZK;Totalbanken A/S;OMX NORDIC COPENHAGEN;SHARE;03-10-1990;31-08-2023;72,3;DKK;;Banking;DK0060082758;1.740,3;125898,572;16899,13719;FJERN
B1W475;Dagon AB;OMX NORDIC STOCKHOLM;SHARE;05-06-2000;08-06-2012;53,5;SEK;;Real Estate;SE0000646606;7.778,9;416065,8967;36819,99086;FJERN
B1W6GZ;Dannemora Mineral AB Class B;OMX NORDIC STOCKHOLM;SHARE;25-05-2007;17-03-2015;26,0;SEK;;Mining and Mineral Products;SE0001879818;84.222,2;2188993,736;193716,2598;BEHOLD
B1WP5Z;Abaris Ejendomme Dkk0.25;OMX NORDIC COPENHAGEN;SHARE;22-05-2007;26-10-2007;;DKK;;Real Estate;DK0060081271;;;;FJERN
B1WP65;Dampskibsselskabet NORDEN A/S;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;13-05-2026;169,4;DKK;7.216,9;Industrial Services;DK0060083210;151.075,0;25586892,91;3434482,27;BEHOLD
B1WP66;Malmbergs Elektriska AB Class B;OMX NORDIC STOCKHOLM;SHARE;16-03-1999;13-05-2026;71,0;SEK;240,0;Industrial Services;SE0000507659;4.449,4;315870,1565;27953,1112;FJERN
B1WQDN;DKTI A/S;OMX NORDIC COPENHAGEN;SHARE;06-06-2007;18-09-2013;66,2;DKK;;Financially Operative Institutions;DK0060076008;864,1;57231,594;7682,093154;FJERN
B1WSTV;ACAP Invest AB Class B;OMX NORDIC STOCKHOLM;SHARE;22-07-2002;26-11-2014;26,7;SEK;;Investment Services;SE0000937682;7.286,1;194455,4983;17208,45118;FJERN
B1WT1G;Banktrelleborg Dkk20;OMX NORDIC COPENHAGEN;SHARE;07-06-2007;28-01-2008;64,5;DKK;;Banking;DK0060080703;0,0;0;0;FJERN
B1WT5G;DSV A/S;OMX NORDIC COPENHAGEN;SHARE;22-08-1990;13-05-2026;616,7;DKK;382.342,4;Industrial Services;DK0060079531;533.015,5;328710925,4;44122271,86;BEHOLD
B1WWQB;Water Jet Ab Npv;OMX NORDIC STOCKHOLM;SHARE;06-07-2007;11-09-2009;34,7;SEK;;Industrial Services;SE0001995986;217,4;7547,769985;667,9442464;FJERN
B1XFJM;Geveko AB Class B;OMX NORDIC STOCKHOLM;SHARE;31-05-1989;15-09-2015;10,2;SEK;;Chemical, Plastic and Rubber Materials;SE0000105264;25.118,2;255191,4687;22583,31581;FJERN
B1XFLG;Acando AB Class B;OMX NORDIC STOCKHOLM;SHARE;09-06-1995;14-05-2019;18,3;SEK;;Software and Consulting;SE0000105116;149.937,5;2750207,603;243381,2038;BEHOLD
B1XFXP;Seanet Maritime Ab Npv;OMX NORDIC STOCKHOLM;SHARE;28-06-2007;21-02-2012;47,3;SEK;;Telecommunications;SE0002024414;1.504,3;71183,236;6299,401416;FJERN
B1XGBT;Exiqon A/S;OMX NORDIC COPENHAGEN;SHARE;29-05-2007;03-08-2016;10,6;DKK;;Healthcare Services;DK0060077758;52.500,7;556697,7855;74724,53496;FJERN
