Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/09/07,"899,83",,"-0,08","-0,01","1.132,14","27,99",,"899,83","899,83"
02/12/07,"898,00",,"-1,83","-0,20","1.129,91","27,74",,"898,00","898,00"
02/13/07,"900,70",,"2,71","0,30","1.133,50","28,14",,"900,70","900,70"
02/14/07,"904,08",,"3,37","0,37","1.137,95","28,64",,"904,08","904,08"
02/15/07,"902,20",,"-1,87","-0,21","1.135,59","28,38",,"902,20","902,20"
02/16/07,"902,02",,"-0,19","-0,02","1.135,35","28,35",,"902,02","902,02"
02/20/07,"902,59",,"0,57","0,06","1.136,07","28,43",,"902,59","902,59"
02/21/07,"895,84",,"-6,75","-0,75","1.127,83","27,50",,"895,84","895,84"
02/22/07,"893,70",,"-2,13","-0,24","1.125,14","27,20",,"893,70","893,70"
02/23/07,"897,81",,"4,10","0,46","1.130,31","27,78",,"897,81","897,81"
02/26/07,"905,78",,"7,97","0,89","1.140,61","28,95",,"905,78","905,78"
02/27/07,"883,92",,"-21,86","-2,41","1.113,09","25,83",,"883,92","883,92"
02/28/07,"876,93",,"-6,99","-0,79","1.104,36","24,85",,"876,93","876,93"
03/01/07,"869,66",,"-7,27","-0,83","1.095,21","23,81",,"869,66","869,66"
03/02/07,"863,13",,"-6,53","-0,75","1.086,99","22,88",,"863,13","863,13"
03/05/07,"852,13",,"-11,00","-1,27","1.073,22","21,33",,"852,13","852,13"
03/06/07,"858,89",,"6,75","0,79","1.081,78","22,29",,"858,89","858,89"
03/07/07,"860,28",,"1,39","0,16","1.083,79","22,52",,"860,28","860,28"
03/08/07,"872,35",,"12,07","1,40","1.099,01","24,24",,"872,35","872,35"
03/09/07,"872,78",,"0,43","0,05","1.099,57","24,31",,"872,78","872,78"
03/12/07,"875,24",,"2,46","0,28","1.102,68","24,66",,"875,24","875,24"
03/13/07,"868,22",,"-7,02","-0,80","1.093,88","23,66",,"868,22","868,22"
03/14/07,"857,78",,"-10,44","-1,20","1.080,72","22,18",,"857,78","857,78"
03/15/07,"867,76",,"9,98","1,16","1.093,36","23,60",,"867,76","867,76"
03/16/07,"869,62",,"1,87","0,22","1.095,71","23,87",,"869,62","869,62"
03/19/07,"879,85",,"10,22","1,18","1.108,60","25,33",,"879,85","879,85"
03/20/07,"885,56",,"5,72","0,65","1.115,97","26,16",,"885,56","885,56"
03/21/07,"892,01",,"6,44","0,73","1.124,12","27,08",,"892,01","892,01"
03/22/07,"898,65",,"6,64","0,74","1.132,49","28,03",,"898,65","898,65"
03/23/07,"899,59",,"0,94","0,10","1.133,68","28,16",,"899,59","899,59"
03/26/07,"897,17",,"-2,42","-0,27","1.130,63","27,82",,"897,17","897,17"
03/27/07,"896,14",,"-1,03","-0,11","1.130,12","27,76",,"896,14","896,14"
03/28/07,"891,63",,"-4,52","-0,50","1.124,58","27,13",,"891,63","891,63"
03/29/07,"898,38",,"6,75","0,76","1.133,48","28,14",,"898,38","898,38"
03/30/07,"895,32",,"-3,06","-0,34","1.129,62","27,70",,"895,32","895,32"
04/02/07,"902,49",,"7,17","0,80","1.138,67","28,73",,"902,49","902,49"
04/03/07,"912,56",,"10,07","1,12","1.151,37","30,16",,"912,56","912,56"
04/04/07,"912,27",,"-0,29","-0,03","1.151,01","30,12",,"912,27","912,27"
04/05/07,"911,95",,"-0,32","-0,03","1.152,17","30,25",,"911,95","911,95"
04/09/07,"912,82",,"0,87","0,10","1.153,27","30,38",,"912,82","912,82"
04/10/07,"915,74",,"2,92","0,32","1.156,96","30,79",,"915,74","915,74"
04/11/07,"912,41",,"-3,33","-0,36","1.152,77","30,32",,"912,41","912,41"
