Måned;KBHL.CO;BO.CO;CARL-B.CO;MAERSK-B.CO;ALMB.CO;HH.CO;GN.CO;DANSKE.CO;GMAB.CO;BIOPOR.CO;SOLAR-B.CO;FLS.CO;BAVA.CO;SCHO.CO;RTX.CO;NKT.CO;JYSK.CO;ZEAL.CO;CBRAIN.CO;CHEMM.CO;DNORD.CO;DSV.CO;EMBLA.CO;PNDORA.CO;NSIS-B.CO;COLO-B.CO;MATAS.CO;AMBU-B.CO;RILBA.CO;TCM.CO;NETC.CO;SPG.CO;NTG.CO;PEG.CO;ISS.CO;TRIFOR.CO;AOJ-B.CO;HUSCO.CO;OKEAC.CO;JDAN.CO;HLUN-B.CO;GUBRA.CO;UIE.CO;VWS.CO;ALK-B.CO;NOVO-B.CO;ROCK-B.CO;STRAP.CO;NNIT.CO;RBREW.CO;TRYG.CO;PAAL-B.CO;DFDS.CO;ORSTED.CO;SJF.CO;STG.CO;DEMANT.CO;NLFSK.CO;TRMD-A.CO
2009-11-30 00:00:00;-0,014143165;-0,051282051;-0,000703319;0,043227502;-0,173387105;-0,409615424;-0,045454491;-0,081896512;-0,421052632;-0,234042569;0,087793617;0,203358172;-0,165432133;-0,045226;-0,103448199;-0,02768154;-0,093847613;;0,07692328;0,068322871;0,065274285;0,104440367;;;0,069817643;0,114596208;;0,024038686;-0,019831291;;;0;-0,142857143;;;;-0,087332055;;0,016304367;-0,035874453;;;0,097527508;-0,020920504;-0,004645679;0,058493367;0,181818268;;;0,095321429;-0,062841476;0,101289101;-0,0086453;;;;-0,012448153;;-0,045871522
2009-12-31 00:00:00;0,033755249;0,02027027;0,080929059;0,01104998;-0,112195214;0,172638534;0,018315001;0,107981009;0,064935065;-0,02083323;0,056406825;0,137984695;-0,150887549;-0,005263047;-0,11538452;0,032028356;0,265624991;;0,053571378;-0,046511705;0,026960978;0,064552451;;;0,084337297;0,02380927;;0,014084377;0,011627968;;;0,159459319;0,069444444;;;;0,068349078;;-0,026737999;0,025581413;;;0,076345699;-0,094017141;-0,046674496;1,010598142;0,211045573;;;0,193133166;-0,000729078;-0,026755768;0,039244;;;;0,099439752;;-0,019230843
2010-01-31 00:00:00;0,036734748;-0,119205355;0,052083409;0,154917978;0,032966987;0,061538487;0,187050346;0,105932174;0,194512158;0,092198565;0,032448483;-0,055585896;0,419207315;0,005290893;0,39130417;0,093103443;-0,009382571;;-0,025423706;-0,060975392;0,131264656;0,024468477;;;0,02592597;0,249374073;;0,098310306;0,041050893;;;-0,009323913;0,090909091;;;;-0,015748004;;-0,068681366;0,043083867;;;0,00930234;-0,091195014;0,009792054;-0,448042232;0,006514602;;;-0,007194285;-0,04011653;-0,017182165;0,093706387;;;;0,071847126;;0,166666743
2010-02-28 00:00:00;-0,055118067;-0,082706708;0,044801741;-0,010882482;-0,117021208;-0,072463731;-0,103030356;-0,045976786;-0,063297572;-0,006493577;-0,078571539;0,004039056;-0,008746401;-0,057894738;0,062500017;-0,048895923;-0,051346008;;-0,017391347;-0,01948054;-0,030801646;-0,116822519;;;0,012635186;0,067010291;;0,076923153;-0,053627757;;;-0,082353012;1,196428571;;;;-0,049999954;;-0,079646004;-0,042391284;;;0,013824714;-0,065743895;-0,020605973;0,053206253;-0,135922242;;;0,137681273;0,083282407;-0,160839103;0,017902771;;;;-0,072973609;;-0,016806787
2010-03-31 00:00:00;0,133333306;0,090163864;0,095949123;0,004544412;0,13855416;0,078124957;0,11486493;0,089156753;-0,244141706;-0,039215595;0,198449522;0,098850706;0,341176446;0,430167675;0,882352912;0,009950215;0,028901654;;0,097345108;0,152317697;0,042664307;0,158142201;;;0,087344062;-0,022544222;;0,047619036;0,02500001;;;0,153846081;-0,08401084;;;;0,13684218;;0,10256423;0,115850513;;;0,165909232;0,109259492;0,074257236;0,108030955;0,108613916;;;0,235668538;0,020763512;0,037876045;0,005025062;;;;0;;-0,025641026
2010-04-30 00:00:00;0,027486546;-0,03007519;-0,007807036;0,127381212;-0,142857053;0,050724625;0,378788021;0,086282947;-0,110309991;-0,04761913;-0,014230029;0,113232454;0,15570177;0,050780948;-0,168750038;0,104235257;0,155260461;;0;0,057471377;0,080166961;0,024936401;;;0,11747589;0,027182798;;0,09090899;0,014634071;;;0,233333442;-0,278106509;;;;0,111111057;;-0,071856387;0,026785653;;;-0,001949361;0,14257107;0,003482938;1,187923635;8,020270959;;;0,087629056;-0,050027526;0,048583029;0,04999995;;;;-0,016153874;;0,070175404
2010-05-31 00:00:00;-0,017738541;-0,131782888;0,014269939;-0,022127568;-0,117283942;-0,193103464;0,032966954;-0,165648391;-0,223176666;-0,007142821;-0,105889646;-0,096851062;-0,148007514;-0,052222424;0;-0,141813799;-0,143236095;;-0,008064455;-0,315217418;-0,079509147;-0,106752597;;;-0,038518496;0,007217117;;-0,045138785;3,687500968;;;0;-0,344262295;;;;-0,133333366;;-0,093548426;-0,067229508;;;-0,09179674;-0,153711571;-0,125435511;-0,491847864;-0,89771243;;;0,00473929;-0,040928088;-0,05791502;-0,142857006;;;;0,122752229;;-0,242622697
2010-06-30 00:00:00;-0,018058376;-0,035714362;0,010606083;0,048237266;-0,118881244;-0,17948714;-0,093617036;-0,039056127;-0,093469633;-0,136690589;0,115726903;0,043421093;-0,015590207;-0,00401569;-0,030075101;-0,029432524;-0,082559313;;-0,170731883;-0,190476144;-0,086318397;-0,017787767;;0;0,006933769;-0,034235336;;0,07272728;-0,803418863;;;-0,02702695;0,125;;;;0,057692316;;-0,067615606;0,026252806;;;0,034408474;-0,118439123;-0,099601534;0,05689877;-0,098696351;;;-0,075471835;-0,022457799;-0,07377059;0,199491071;;;;0,038765044;;-0,006493644
2010-07-31 00:00:00;0,107279508;0,02777778;0,085885835;-0,004952616;-0,00793655;0,062500024;-0,084506944;0,140558701;0,403912519;-0,041666852;0,030585144;0,027238382;-0,004524985;0,012096557;-0,031007825;0,027036944;0,121484797;;0,068627436;0,029411688;0,060463119;0,154499095;;0;0,117827482;-0,020610216;;-0,016949243;0,038261036;;;-0,027777696;0,116666667;;;;-0,036363542;;0,114503938;0,011627868;;;0,038834174;0,088915101;0,058997216;-0,010119575;0,076446143;;;0,020408125;0,077926047;0,022123842;-0,040789453;;;;-0,063687117;;-0,00108938
2010-08-31 00:00:00;-0,047058888;-0,162162098;0,09171565;-0,082331213;-0,079999869;-0,196078501;-0,030769261;-0,029695367;-0,087704893;-0,113043476;-0,180645198;-0,148048269;-0,027272644;-0,043824677;-0,119999993;-0,209889796;-0,029588771;;0,100917705;0,190476236;-0,013363231;-0,087254967;;0;-0,055441914;0,052188627;;-0,075862176;-0,060301533;;;0,133333003;-0,109452736;;;;-0,075471805;;-0,044520588;-0,036781406;;;-0,118712516;-0,211510815;-0,154596141;0,030464392;-0,03454907;;;0,132500236;-0,092742013;-0,155844048;-0,020576076;;;;-0,048687371;;-0,096619578
