Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
07/13/07,"96,13",,"0,28","0,29","100,46","19,39",,"96,13","96,13"
07/16/07,"96,25",,"0,13","0,13","100,59","19,55",,"96,25","96,25"
07/17/07,"96,72",,"0,47","0,48","101,08","20,12",,"96,72","96,72"
07/18/07,"95,95",,"-0,77","-0,79","100,28","19,17",,"95,95","95,95"
07/19/07,"97,19",,"1,23","1,28","101,57","20,70",,"97,19","97,19"
07/20/07,"96,32",,"-0,87","-0,89","100,66","19,63",,"96,32","96,32"
07/23/07,"96,48",,"0,16","0,17","100,83","19,83",,"96,48","96,48"
07/24/07,"95,28",,"-1,21","-1,25","99,57","18,33",,"95,28","95,28"
07/25/07,"95,20",,"-0,07","-0,08","99,50","18,24",,"95,20","95,20"
07/26/07,"93,91",,"-1,30","-1,36","98,14","16,63",,"93,91","93,91"
07/27/07,"92,44",,"-1,47","-1,57","96,61","14,81",,"92,44","92,44"
07/30/07,"92,99",,"0,56","0,60","97,19","15,51",,"92,99","92,99"
07/31/07,"91,67",,"-1,32","-1,42","95,81","13,86",,"91,67","91,67"
08/01/07,"91,82",,"0,15","0,16","95,97","14,05",,"91,82","91,82"
08/02/07,"92,82",,"1,00","1,09","97,01","15,29",,"92,82","92,82"
08/03/07,"91,14",,"-1,67","-1,80","95,28","13,24",,"91,14","91,14"
08/06/07,"91,92",,"0,78","0,85","96,10","14,20",,"91,92","91,92"
08/07/07,"91,94",,"0,01","0,02","96,11","14,22",,"91,94","91,94"
08/08/07,"93,56",,"1,62","1,76","97,83","16,26",,"93,56","93,56"
08/09/07,"91,67",,"-1,89","-2,02","95,85","13,91",,"91,67","91,67"
08/10/07,"90,93",,"-0,73","-0,80","95,09","13,00",,"90,93","90,93"
08/13/07,"91,54",,"0,60","0,66","95,72","13,75",,"91,54","91,54"
08/14/07,"90,45",,"-1,08","-1,18","94,62","12,45",,"90,45","90,45"
08/15/07,"88,81",,"-1,64","-1,81","92,90","10,41",,"88,81","88,81"
08/16/07,"87,50",,"-1,31","-1,47","91,53","8,78",,"87,50","87,50"
08/17/07,"88,34",,"0,84","0,96","92,41","9,82",,"88,34","88,34"
08/20/07,"89,00",,"0,66","0,75","93,10","10,64",,"89,00","89,00"
08/21/07,"89,58",,"0,57","0,65","93,71","11,36",,"89,58","89,58"
08/22/07,"90,56",,"0,98","1,09","94,73","12,58",,"90,56","90,56"
08/23/07,"91,03",,"0,47","0,52","95,23","13,17",,"91,03","91,03"
08/24/07,"92,04",,"1,00","1,10","96,28","14,42",,"92,04","92,04"
08/27/07,"91,65",,"-0,38","-0,41","95,88","13,94",,"91,65","91,65"
08/28/07,"89,96",,"-1,69","-1,84","94,11","11,84",,"89,96","89,96"
08/29/07,"91,75",,"1,79","1,99","95,99","14,08",,"91,75","91,75"
08/30/07,"92,42",,"0,67","0,72","96,69","14,91",,"92,42","92,42"
08/31/07,"93,74",,"1,32","1,43","98,07","16,55",,"93,74","93,74"
09/03/07,"93,75",,"0,01","0,01","98,08","16,56",,"93,75","93,75"
09/04/07,"94,86",,"1,11","1,18","99,24","17,94",,"94,86","94,86"
09/05/07,"93,90",,"-0,96","-1,01","98,24","16,75",,"93,90","93,90"
09/06/07,"94,30",,"0,40","0,43","98,66","17,24",,"94,30","94,30"
09/07/07,"92,58",,"-1,72","-1,83","96,85","15,10",,"92,58","92,58"
09/10/07,"92,30",,"-0,27","-0,29","96,58","14,78",,"92,30","92,30"
09/11/07,"93,45",,"1,15","1,24","97,78","16,20",,"93,45","93,45"
09/12/07,"92,98",,"-0,47","-0,50","97,29","15,62",,"92,98","92,98"
09/13/07,"92,79",,"-0,19","-0,21","97,09","15,38",,"92,79","92,79"
09/14/07,"92,77",,"-0,02","-0,02","97,08","15,37",,"92,77","92,77"
09/17/07,"92,34",,"-0,43","-0,46","96,63","14,83",,"92,34","92,34"
09/18/07,"93,82",,"1,48","1,60","98,18","16,67",,"93,82","93,82"
09/19/07,"94,89",,"1,06","1,13","99,29","18,00",,"94,89","94,89"
09/20/07,"94,70",,"-0,19","-0,20","99,10","17,77",,"94,70","94,70"
09/21/07,"95,08",,"0,38","0,40","99,49","18,24",,"95,08","95,08"
09/24/07,"95,19",,"0,11","0,12","99,61","18,38",,"95,19","95,19"
09/25/07,"95,95",,"0,76","0,80","100,46","19,39",,"95,95","95,95"
09/26/07,"96,36",,"0,41","0,42","100,89","19,89",,"96,36","96,36"
09/27/07,"96,81",,"0,45","0,46","101,35","20,45",,"96,81","96,81"
09/28/07,"96,81",,"0,00","0,00","101,35","20,45",,"96,81","96,81"
10/01/07,"97,61",,"0,80","0,83","102,19","21,45",,"97,61","97,61"
10/02/07,"97,98",,"0,37","0,38","102,58","21,90",,"97,98","97,98"
10/03/07,"97,45",,"-0,52","-0,53","102,03","21,25",,"97,45","97,45"
10/04/07,"97,21",,"-0,24","-0,25","101,78","20,95",,"97,21","97,21"
10/05/07,"98,24",,"1,02","1,05","102,85","22,23",,"98,24","98,24"
10/08/07,"98,67",,"0,43","0,44","103,30","22,77",,"98,67","98,67"
10/09/07,"99,11",,"0,44","0,44","103,76","23,31",,"99,11","99,11"
10/10/07,"99,56",,"0,46","0,46","104,25","23,89",,"99,56","99,56"
10/11/07,"98,92",,"-0,65","-0,65","103,57","23,09",,"98,92","98,92"
10/12/07,"99,53",,"0,61","0,61","104,21","23,84",,"99,53","99,53"
10/15/07,"98,93",,"-0,60","-0,60","103,58","23,10",,"98,93","98,93"
10/16/07,"97,80",,"-1,13","-1,14","102,40","21,69",,"97,80","97,80"
10/17/07,"99,04",,"1,24","1,27","103,70","23,24",,"99,04","99,04"
10/18/07,"99,27",,"0,23","0,23","103,94","23,53",,"99,27","99,27"
10/19/07,"97,02",,"-2,25","-2,27","101,59","20,73",,"97,02","97,02"
10/22/07,"97,32",,"0,30","0,31","101,90","21,10",,"97,32","97,32"
10/23/07,"98,53",,"1,21","1,24","103,16","22,60",,"98,53","98,53"
10/24/07,"97,75",,"-0,78","-0,79","102,35","21,64",,"97,75","97,75"
10/25/07,"97,46",,"-0,29","-0,29","102,05","21,28",,"97,46","97,46"
10/26/07,"99,35",,"1,89","1,93","104,02","23,62",,"99,35","99,35"
10/29/07,"99,94",,"0,59","0,59","104,65","24,36",,"99,94","99,94"
10/30/07,"100,13",,"0,19","0,19","104,85","24,61",,"100,13","100,13"
10/31/07,"101,57",,"1,43","1,43","106,35","26,39",,"101,57","101,57"
11/01/07,"100,32",,"-1,24","-1,22","105,05","24,84",,"100,32","100,32"
11/02/07,"100,70",,"0,38","0,38","105,46","25,32",,"100,70","100,70"
11/05/07,"100,22",,"-0,49","-0,49","104,96","24,74",,"100,22","100,22"
11/06/07,"101,04",,"0,83","0,83","105,83","25,77",,"101,04","101,04"
11/07/07,"99,07",,"-1,97","-1,95","103,78","23,34",,"99,07","99,07"
11/08/07,"95,70",,"-3,37","-3,40","100,25","19,14",,"95,70","95,70"
11/09/07,"92,77",,"-2,93","-3,06","97,19","15,50",,"92,77","92,77"
11/12/07,"91,33",,"-1,45","-1,56","95,67","13,70",,"91,33","91,33"
11/13/07,"93,97",,"2,65","2,90","98,48","17,03",,"93,97","93,97"
11/14/07,"93,52",,"-0,45","-0,48","98,01","16,47",,"93,52","93,52"
11/15/07,"92,73",,"-0,79","-0,85","97,18","15,49",,"92,73","92,73"
11/16/07,"93,28",,"0,55","0,59","97,75","16,17",,"93,28","93,28"
11/19/07,"92,09",,"-1,19","-1,28","96,51","14,69",,"92,09","92,09"
11/20/07,"92,44",,"0,35","0,38","96,87","15,13",,"92,44","92,44"
11/21/07,"90,80",,"-1,63","-1,77","95,16","13,09",,"90,80","90,80"
11/22/07,"90,96",,"0,16","0,17","95,33","13,29",,"90,96","90,96"
11/23/07,"91,84",,"0,88","0,97","96,25","14,38",,"91,84","91,84"
11/26/07,"90,52",,"-1,32","-1,44","94,87","12,74",,"90,52","90,52"
11/27/07,"91,46",,"0,94","1,03","95,85","13,91",,"91,46","91,46"
11/28/07,"93,98",,"2,52","2,75","98,49","17,04",,"93,98","93,98"
11/29/07,"94,80",,"0,82","0,87","99,35","18,07",,"94,80","94,80"
11/30/07,"94,19",,"-0,61","-0,64","98,71","17,31",,"94,19","94,19"
12/03/07,"93,48",,"-0,71","-0,75","97,97","16,43",,"93,48","93,48"
12/04/07,"92,90",,"-0,58","-0,62","97,36","15,70",,"92,90","92,90"
12/05/07,"94,93",,"2,03","2,19","99,50","18,24",,"94,93","94,93"
12/06/07,"96,22",,"1,29","1,35","100,85","19,85",,"96,22","96,22"
12/07/07,"96,19",,"-0,03","-0,03","100,81","19,81",,"96,19","96,19"
12/10/07,"96,73",,"0,55","0,57","101,39","20,50",,"96,73","96,73"
